species	method	proc_c	proc_a	units
AGR	MW	1000	2000	greenwt
ALB	BLL	350	700	count
ALB	DL	350	700	count
ALB	HL	350	700	count
ALB	PL	350	700	count
ALB	SLL	141	282	count
ALB	T	353	707	count
ALB	TL	350	700	greenwt
ASQ	BT	833	1666	greenwt
ATC	BT	500	1000	greenwt
ATO	BLL	5000	10000	greenwt
BAR	BLL	303	606	greenwt
BAR	BPT	909	1818	greenwt
BAR	BT	23482	46965	greenwt
BAR	DS	505	1010	greenwt
BAR	MW	22725	45450	greenwt
BAR	PS	2500	5000	greenwt
BAR	SN	141	282	greenwt
BAR	T	1010	2020	greenwt
BAS	BLL	757	1515	greenwt
BAS	DL	1010	2020	greenwt
BBE	BT	1250	2500	greenwt
BCD	BLL	2500	5000	greenwt
BCO	BLL	858	1717	greenwt
BCO	BT	17028	34057	greenwt
BCO	CP	2020	4040	greenwt
BCO	DL	212	424	greenwt
BCO	HL	338	676	greenwt
BCO	RLP	1060	2121	greenwt
BCO	SN	202	404	greenwt
BEE	BT	500	1000	greenwt
BEN	MW	500	1000	greenwt
BFL	BT	555	1111	greenwt
BFL	SN	181	363	greenwt
BIG	BLL	10	10	count
BIG	DL	10	10	count
BIG	HL	10	10	count
BIG	PL	10	10	count
BIG	SLL	13	13	count
BIG	T	10	10	count
BIG	TL	10	10	count
BMA	BLL	500	1000	greenwt
BMA	SN	75	151	greenwt
BNS	BLL	3515	7030	greenwt
BNS	BT	15150	30300	greenwt
BNS	DL	2828	5656	greenwt
BNS	MW	20200	40400	greenwt
BNS	SN	606	1212	greenwt
BNS	TL	378	757	greenwt
BOA	BLL	70	141	greenwt
BOA	BT	2020	4040	greenwt
BOE	BT	20200	40400	greenwt
BOE	MW	3750	7500	greenwt
BRC	BLL	90	181	greenwt
BRC	SN	75	151	greenwt
BRE	SN	50	100	greenwt
BRI	BT	404	808	greenwt
BRI	SN	35	70	greenwt
BRZ	BT	500	1000	greenwt
BSH	BLL	1024	2047	greenwt
BSH	BT	4040	8080	greenwt
BSH	DL	500	1000	greenwt
BSH	MW	1000	2000	greenwt
BSH	SN	2020	4040	greenwt
BSK	BT	5000	10000	greenwt
BSK	MW	12500	25000	greenwt
BSQ	BT	353	707	greenwt
BTU	BLL	10	10	count
BTU	DL	10	10	count
BTU	HL	10	10	count
BTU	PL	10	10	count
BTU	SLL	10	10	count
BTU	T	10	10	count
BTU	TL	10	10	count
BUT	RLP	50	100	greenwt
BUT	SN	606	1212	greenwt
BWH	BLL	500	1000	greenwt
BWH	SN	324	649	greenwt
BYX	BLL	151	303	greenwt
BYX	BT	30300	60600	greenwt
BYX	MW	12625	25250	greenwt
BYX	SN	75	151	greenwt
CAR	RLP	125	250	greenwt
CAT	FN	151	303	greenwt
CDL	BLL	500	1000	greenwt
CDL	BT	45450	90900	greenwt
CDL	MW	12500	25000	greenwt
CHG	BT	500	1000	greenwt
CMO	SN	50	100	greenwt
COC	H	1515	3030	greenwt
COC	MH	3871	7742	greenwt
COD	BT	500	1000	greenwt
CON	BLL	400	801	greenwt
CON	BT	121	242	greenwt
CON	CP	176	353	greenwt
CON	DL	75	151	greenwt
CON	RLP	110	221	greenwt
CON	SN	50	100	greenwt
CRA	CP	126	252	greenwt
CRA	DI	303	606	greenwt
CRA	RLP	927	1854	greenwt
CRB	BT	500	1000	greenwt
