species	qma	stat
ANC	ANC4	412
ANC	ANC4	411
ANC	ANC4	410
ANC	ANC4	408
ANC	ANC4	409
ANC	ANC4	407
ANC	ANC4	049
ANC	ANC4	050
ANC	ANC4	051
ANC	ANC4	052
ANC	ANC4	401
ANC	ANC4	402
ANC	ANC4	403
ANC	ANC4	404
ANC	ANC4	405
ANC	ANC4	406
ANC	ANC7	704
ANC	ANC7	705
ANC	ANC7	702
ANC	ANC7	703
ANC	ANC7	018
ANC	ANC7	032
ANC	ANC7	033
ANC	ANC7	034
ANC	ANC7	035
ANC	ANC7	036
ANC	ANC7	040
ANC	ANC7	037
ANC	ANC7	039
ANC	ANC7	038
ANC	ANC7	017
ANC	ANC7	701
ANC	ANC7	706
ANC	ANC10	092
ANC	ANC10	091
ANC	ANC10	093
ANC	ANC10	094
ANC	ANC1	107
ANC	ANC1	004
ANC	ANC1	008
ANC	ANC1	006
ANC	ANC1	007
ANC	ANC1	009
ANC	ANC1	010
ANC	ANC1	009H
ANC	ANC1	003
ANC	ANC1	005
ANC	ANC1	106
ANC	ANC1	001
ANC	ANC1	002
ANC	ANC1	105
ANC	ANC3	301
ANC	ANC3	608
ANC	ANC3	602
ANC	ANC3	623
ANC	ANC3	622
ANC	ANC3	625
ANC	ANC3	502
ANC	ANC3	615
ANC	ANC3	613
ANC	ANC3	601
ANC	ANC3	618
ANC	ANC3	614
ANC	ANC3	616
ANC	ANC3	619
ANC	ANC3	503
ANC	ANC3	609
ANC	ANC3	617
ANC	ANC3	620
ANC	ANC3	607
ANC	ANC3	621
ANC	ANC3	624
ANC	ANC3	018
ANC	ANC3	020
ANC	ANC3	023
ANC	ANC3	022
ANC	ANC3	024
ANC	ANC3	026
ANC	ANC3	027
ANC	ANC3	028
ANC	ANC3	031
ANC	ANC3	032
ANC	ANC3	025
ANC	ANC3	029
ANC	ANC3	030
ANC	ANC3	501
ANC	ANC3	603
ANC	ANC3	504
ANC	ANC3	303
ANC	ANC3	606
ANC	ANC3	610
ANC	ANC3	612
ANC	ANC3	604
ANC	ANC3	302
ANC	ANC3	605
ANC	ANC3	611
ANC	ANC3	019
ANC	ANC3	021
ANC	ANC2	203
ANC	ANC2	202
ANC	ANC2	204
ANC	ANC2	201
ANC	ANC2	011
ANC	ANC2	012
ANC	ANC2	015
ANC	ANC2	018
ANC	ANC2	016
ANC	ANC2	017
ANC	ANC2	013
ANC	ANC2	014
ANC	ANC2	205
ANC	ANC2	206
ANC	ANC2	019
ANC	ANC8	102
ANC	ANC8	103
ANC	ANC8	036
ANC	ANC8	040
ANC	ANC8	037
ANC	ANC8	039
ANC	ANC8	041
ANC	ANC8	042
ANC	ANC8	046
ANC	ANC8	044
ANC	ANC8	043
ANC	ANC8	016
ANC	ANC8	017
ANC	ANC8	048
ANC	ANC8	047
ANC	ANC8	801
ANC	ANC8	101
ANC	ANC8	104
ANC	ANC8	045
ALB	ALB1	092
ALB	ALB1	203
ALB	ALB1	412
ALB	ALB1	301
ALB	ALB1	608
ALB	ALB1	602
ALB	ALB1	623
ALB	ALB1	622
ALB	ALB1	625
ALB	ALB1	502
ALB	ALB1	704
ALB	ALB1	102
ALB	ALB1	091
ALB	ALB1	202
ALB	ALB1	204
ALB	ALB1	411
ALB	ALB1	615
ALB	ALB1	613
ALB	ALB1	601
ALB	ALB1	618
ALB	ALB1	705
ALB	ALB1	702
ALB	ALB1	103
ALB	ALB1	107
ALB	ALB1	410
ALB	ALB1	408
ALB	ALB1	614
ALB	ALB1	616
ALB	ALB1	619
ALB	ALB1	503
ALB	ALB1	703
ALB	ALB1	409
ALB	ALB1	407
ALB	ALB1	609
ALB	ALB1	617
ALB	ALB1	620
ALB	ALB1	607
ALB	ALB1	621
ALB	ALB1	624
ALB	ALB1	093
ALB	ALB1	094
ALB	ALB1	201
ALB	ALB1	004
ALB	ALB1	008
ALB	ALB1	006
ALB	ALB1	007
ALB	ALB1	009
ALB	ALB1	010
ALB	ALB1	011
ALB	ALB1	012
ALB	ALB1	015
ALB	ALB1	018
ALB	ALB1	020
ALB	ALB1	023
ALB	ALB1	022
ALB	ALB1	024
ALB	ALB1	026
ALB	ALB1	027
ALB	ALB1	028
ALB	ALB1	031
ALB	ALB1	032
ALB	ALB1	025
ALB	ALB1	033
ALB	ALB1	034
ALB	ALB1	035
ALB	ALB1	036
ALB	ALB1	040
ALB	ALB1	037
ALB	ALB1	039
ALB	ALB1	038
ALB	ALB1	041
ALB	ALB1	042
ALB	ALB1	046
ALB	ALB1	044
ALB	ALB1	043
ALB	ALB1	049
ALB	ALB1	050
ALB	ALB1	051
ALB	ALB1	052
ALB	ALB1	009H
ALB	ALB1	016
ALB	ALB1	017
ALB	ALB1	029
ALB	ALB1	030
ALB	ALB1	013
ALB	ALB1	014
ALB	ALB1	003
ALB	ALB1	005
ALB	ALB1	106
ALB	ALB1	001
ALB	ALB1	048
ALB	ALB1	047
ALB	ALB1	002
ALB	ALB1	205
ALB	ALB1	401
ALB	ALB1	402
ALB	ALB1	403
ALB	ALB1	404
ALB	ALB1	801
ALB	ALB1	405
ALB	ALB1	406
ALB	ALB1	206
ALB	ALB1	701
ALB	ALB1	105
ALB	ALB1	101
ALB	ALB1	706
ALB	ALB1	501
ALB	ALB1	104
ALB	ALB1	603
ALB	ALB1	504
ALB	ALB1	303
ALB	ALB1	606
ALB	ALB1	610
ALB	ALB1	612
ALB	ALB1	604
ALB	ALB1	302
ALB	ALB1	605
ALB	ALB1	611
ALB	ALB1	045
ALB	ALB1	019
ALB	ALB1	021
BAR	BAR4	412
BAR	BAR4	411
BAR	BAR4	410
BAR	BAR4	408
BAR	BAR4	409
BAR	BAR4	407
BAR	BAR4	049
BAR	BAR4	050
BAR	BAR4	051
BAR	BAR4	052
BAR	BAR4	401
BAR	BAR4	402
BAR	BAR4	403
BAR	BAR4	404
BAR	BAR4	405
BAR	BAR4	406
BAR	BAR10	092
BAR	BAR10	091
BAR	BAR10	093
BAR	BAR10	094
BAR	BAR1	203
