species	qma	stat	zone
ANC	ANC4	412	051
ANC	ANC4	411	052
ANC	ANC4	410	403
ANC	ANC4	408	401
ANC	ANC4	409	403
ANC	ANC4	407	401
ANC	ANC4	049	049
ANC	ANC4	050	050
ANC	ANC4	051	051
ANC	ANC4	052	052
ANC	ANC4	401	401
ANC	ANC4	402	401
ANC	ANC4	403	403
ANC	ANC4	404	403
ANC	ANC4	405	049
ANC	ANC4	406	050
ANC	ANC7	704	035
ANC	ANC7	705	034
ANC	ANC7	702	036
ANC	ANC7	703	036
ANC	ANC7	018	038
ANC	ANC7	032	033
ANC	ANC7	033	033
ANC	ANC7	034	034
ANC	ANC7	035	035
ANC	ANC7	036	036
ANC	ANC7	040	037
ANC	ANC7	037	037
ANC	ANC7	039	038
ANC	ANC7	038	038
ANC	ANC7	017	038
ANC	ANC7	701	036
ANC	ANC7	706	033
ANC	ANC10	092	091
ANC	ANC10	091	091
ANC	ANC10	093	091
ANC	ANC10	094	091
ANC	ANC1	107	008
ANC	ANC1	004	004
ANC	ANC1	008	008
ANC	ANC1	006	005
ANC	ANC1	007	005
ANC	ANC1	009	009
ANC	ANC1	010	010
ANC	ANC1	009H	009
ANC	ANC1	003	003
ANC	ANC1	005	005
ANC	ANC1	106	002
ANC	ANC1	001	001
ANC	ANC1	002	002
ANC	ANC1	105	001
ANC	ANC3	301	024
ANC	ANC3	608	601
ANC	ANC3	602	601
ANC	ANC3	623	601
ANC	ANC3	622	601
ANC	ANC3	625	601
ANC	ANC3	502	030
ANC	ANC3	615	601
ANC	ANC3	613	601
ANC	ANC3	601	601
ANC	ANC3	618	601
ANC	ANC3	614	601
ANC	ANC3	616	601
ANC	ANC3	619	601
ANC	ANC3	503	029
ANC	ANC3	609	601
ANC	ANC3	617	601
ANC	ANC3	620	601
ANC	ANC3	607	601
ANC	ANC3	621	601
ANC	ANC3	624	601
ANC	ANC3	018	018
ANC	ANC3	020	020
ANC	ANC3	023	022
ANC	ANC3	022	022
ANC	ANC3	024	024
ANC	ANC3	026	026
ANC	ANC3	027	026
ANC	ANC3	028	029
ANC	ANC3	031	031
ANC	ANC3	032	032
ANC	ANC3	025	025
ANC	ANC3	029	029
ANC	ANC3	030	030
ANC	ANC3	501	031
ANC	ANC3	603	601
ANC	ANC3	504	027
ANC	ANC3	303	026
ANC	ANC3	606	601
ANC	ANC3	610	601
ANC	ANC3	612	601
ANC	ANC3	604	601
ANC	ANC3	302	026
ANC	ANC3	605	601
ANC	ANC3	611	601
ANC	ANC3	019	018
ANC	ANC3	021	020
ANC	ANC2	203	013
ANC	ANC2	202	012
ANC	ANC2	204	014
ANC	ANC2	201	011
ANC	ANC2	011	011
ANC	ANC2	012	012
ANC	ANC2	015	015
ANC	ANC2	018	015
ANC	ANC2	016	015
ANC	ANC2	017	015
ANC	ANC2	013	013
ANC	ANC2	014	014
ANC	ANC2	205	015
ANC	ANC2	206	015
ANC	ANC2	019	015
ANC	ANC8	102	046
ANC	ANC8	103	047
ANC	ANC8	036	040
ANC	ANC8	040	040
ANC	ANC8	037	039
ANC	ANC8	039	039
ANC	ANC8	041	041
ANC	ANC8	042	042
ANC	ANC8	046	046
ANC	ANC8	044	045
ANC	ANC8	043	042
ANC	ANC8	016	039
ANC	ANC8	017	039
ANC	ANC8	048	048
ANC	ANC8	047	047
ANC	ANC8	801	041
ANC	ANC8	101	042
ANC	ANC8	104	048
ANC	ANC8	045	045
BAR	BAR4	412	051
BAR	BAR4	411	052
BAR	BAR4	410	403
BAR	BAR4	408	401
BAR	BAR4	409	403
BAR	BAR4	407	401
BAR	BAR4	049	049
BAR	BAR4	050	050
BAR	BAR4	051	051
BAR	BAR4	052	052
BAR	BAR4	401	401
BAR	BAR4	402	401
BAR	BAR4	403	403
BAR	BAR4	404	403
BAR	BAR4	405	049
BAR	BAR4	406	050
BAR	BAR10	092	091
BAR	BAR10	091	091
BAR	BAR10	093	091
BAR	BAR10	094	091
BAR	BAR1	203	013
BAR	BAR1	301	024
BAR	BAR1	202	012
BAR	BAR1	204	014
BAR	BAR1	107	008
BAR	BAR1	201	011
BAR	BAR1	004	004
BAR	BAR1	008	008
BAR	BAR1	006	005
BAR	BAR1	007	005
BAR	BAR1	009	009
BAR	BAR1	010	010
BAR	BAR1	011	011
BAR	BAR1	012	012
BAR	BAR1	015	015
BAR	BAR1	018	018
BAR	BAR1	020	020
BAR	BAR1	023	022
BAR	BAR1	022	022
BAR	BAR1	024	024
BAR	BAR1	026	026
BAR	BAR1	027	026
BAR	BAR1	009H	009
BAR	BAR1	016	015
BAR	BAR1	017	015
BAR	BAR1	013	013
BAR	BAR1	014	014
BAR	BAR1	003	003
BAR	BAR1	005	005
BAR	BAR1	106	002
BAR	BAR1	001	001
BAR	BAR1	002	002
BAR	BAR1	205	015
BAR	BAR1	206	015
BAR	BAR1	105	001
BAR	BAR1	303	026
BAR	BAR1	302	026
BAR	BAR1	019	018
BAR	BAR1	021	020
BAR	BAR5	608	601
BAR	BAR5	602	601
BAR	BAR5	623	601
BAR	BAR5	622	601
BAR	BAR5	625	601
BAR	BAR5	502	030
BAR	BAR5	615	601
BAR	BAR5	613	601
BAR	BAR5	601	601
